trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
92,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,5,-33.355757953577864,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,3,-152.02562099424492,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 2}",1
94,False,"{'a': 0.5, 'e': 0.5349999999999996}",20,0,-38.47498127960135,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5299999999999996}",20,14,-6.989433121650665,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,0,-17.268302125293822,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,0,1.5245205453260715,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.5149999999999996}",25,11,11.77761435809045,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.5099999999999996}",25,10,-47.46683937055652,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,7,-12.192694087336909,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
101,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,0,0.012405714099437803,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,11,-23.50976398001186,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,3,-23.10805540155639,"{0: 17, 1: 0, 2: 5, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,12,-3.274224901093329,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47999999999999954}",25,11,-25.97422720540014,"{0: 10, 1: 2, 2: 1, 3: 1, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,7,11.30819204047179,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.46999999999999953}",35,19,-36.689701130284355,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,0,-76.27120323938125,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.4599999999999995}",20,12,-28.35166989735509,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,9,16.211331802896208,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
